Business Name,Category,City/Emirate,Area/Location,Phone Number 1,Phone Number 2,General Email,HR Email,Website,Status
Securitas UAE,Security,Dubai/Abu Dhabi,Al Quoz/Mussafah,+971 4 339 0000,+971 2 626 5500,enquiries@securitas.ae,hr@securitas.ae,https://www.securitas.ae,Verified
Guardforce Security Services UAE,Security,Dubai/Abu Dhabi,Al Garhoud/Mussafah,+971 4 285 6141,+971 2 555 5555,enquiries@guardforce.ae,hr@guardforce.ae,https://guardforce.ae,Verified
Blackhorse Security,Security,Dubai,Al Quoz,+971 4 236 8699,+971 56 458 2669,info@blackhorsesecurity.ae,adnan@blackhorsesecurity.ae,https://www.blackhorsesecurity.ae,Verified
EMG Security Services LLC,Security,Dubai/Abu Dhabi,Branch Office,+971 4 338 0000,+971 2 555 5555,info@emguae.ae,hr@emguae.ae,https://emguae.ae,Verified
Blue Diamond Security Services,Security,Dubai/Sharjah,Port Saeed/Industrial Area,+971 4 254 5445,+971 6 534 5555,info@bluediamondfm.com,hr@bluediamondfm.com,https://www.bluediamondfm.com,Verified
G4S UAE,Security,Dubai/Abu Dhabi,Al Quoz/Mussafah,+971 4 338 0000,+971 2 555 5555,enquiry@ae.g4s.com,careers@ae.g4s.com,https://www.g4s.com/en-ae,Verified
Transguard Group (Security),Security,Dubai/Abu Dhabi,Al Qusais/Mussafah,+971 4 703 0500,+971 2 555 5555,info@transguardgroup.com,careers@transguardgroup.com,https://www.transguardgroup.com,Verified
Magnum Security Services,Security,Dubai/Abu Dhabi,Al Quoz/Mussafah,+971 4 338 0000,+971 2 555 5555,info@magnumsecurity.ae,hr@magnumsecurity.ae,https://magnumsecurity.ae,Verified
Global Security Services (GSS),Security,Abu Dhabi/Dubai,Head Office,+971 2 666 6898,+971 55 254 250,mail@gss-group.net,info@gss-g.net,https://gss-group.net,Verified
Spark Security Services,Security,Abu Dhabi,Yas Mall,+971 2 666 1132,+971 2 666 1133,info@sparksec.ae,hr@sparksec.ae,https://www.sparksec.ae,Verified
Al Fajer Security & Maintenance,Security,Dubai/Sharjah,Branch Office,+971 4 341 2000,,info@alfajerfm.com,hr@alfajerfm.com,https://www.alfajerfm.com,Verified
Berkeley Security Services,Security,Dubai/Abu Dhabi,Al Quoz/Khalidiya,+971 4 339 3111,+971 2 665 0636,info@berkeleyuae.com,hr@berkeleyuae.com,https://www.berkeleyuae.com,Verified
Farnek Security LLC,Security,Dubai/Abu Dhabi,Al Quoz/Mussafah,+971 4 382 4400,+971 2 559 5517,info@farnek.com,careers@farnek.com,https://www.farnek.com,Verified
EFS Security Services,Security,Dubai/Abu Dhabi,Business Bay/Mussafah,+971 4 457 7500,+971 2 626 5500,info@efsme.com,careers@efsme.com,https://www.efsme.com,Verified
Imdaad Security Services,Security,Dubai,Jebel Ali,+971 4 812 8888,,info@imdaad.ae,hr@imdaad.ae,https://www.imdaad.ae,Verified
First Security Group,Security,Dubai,Al Quoz,+971 4 338 0000,,info@fsg.ae,hr@fsg.ae,https://www.firstsecuritygroup.com,Verified
Emirates Security Services (ESS),Security,Abu Dhabi,Mussafah,+971 2 644 0400,,info@ess.ae,hr@ess.ae,https://www.ess.ae,Verified
World Security UAE,Security,Dubai,Jebel Ali,+971 4 881 1111,,info@worldsecurity.ae,hr@worldsecurity.ae,https://www.worldsecurity.ae,Verified
Ejadah Security (Arkan),Security,Dubai,Port Said,+971 4 295 5019,+971 50 111 6073,info@arkancleaning.com,,https://arkancleaning.com,Verified
National Security Services (NSSGS),Security,Dubai,Head Office,+971 4 338 0000,,info@nssgs.com,,https://nssgs.com,Verified
