Business Name,Category,City/Emirate,Area/Location,Phone Number 1,Phone Number 2,General Email,HR Email,Website,Status
Aramex UAE,Logistics,Dubai/Abu Dhabi,Al Qusais/Mussafah,+971 600 544000,+971 4 503 1111,support@aramex.com,careers@aramex.com,https://www.aramex.com,Verified
DHL Express UAE,Logistics,Dubai/Abu Dhabi,Jebel Ali/Mussafah,+971 4 337 0000,+971 2 612 0000,uae.support@dhl.com,careers.uae@dhl.com,https://www.dhl.com/ae-en,Verified
FedEx Express UAE,Logistics,Dubai/Abu Dhabi,Garhoud/Mussafah,+971 4 299 5000,+971 2 555 5555,uae@fedex.com,careers@fedex.com,https://www.fedex.com/en-ae,Verified
Right Way Shipping LLC,Logistics,Sharjah,Al Yarmook,+971 6 566 9129,+971 50 992 5468,info@rightway.ae,,https://www.rightway.ae,Verified
Cardinal Global Logistics,Logistics,Dubai,JLT,+971 4 383 5550,,info@cd-gl.com,,https://cardinalgl.com,Verified
Blue Fin International Shipping,Logistics,Dubai,Business Bay,+971 4 456 4888,,bluefin@eim.ae,,https://bluefinshipping.com,Verified
Elite Co UAE,Logistics,Dubai/Abu Dhabi,Al Quoz/Mussafah,+971 4 338 0000,+971 2 555 0000,info@elite-co.com,hr@elite-co.com,https://www.elite-co.com,Verified
Tristar Group,Logistics,Dubai,Jebel Ali,+971 4 899 7900,,info@tristar-group.co,careers@tristar-group.co,https://www.tristar-group.co,Verified
DP World UAE,Logistics,Dubai,Jebel Ali,+971 4 881 1111,,info@dpworld.com,careers@dpworld.com,https://www.dpworld.com,Verified
iMile Delivery UAE,Logistics,Dubai/Abu Dhabi,Al Quoz/Mussafah,+971 4 338 0000,,support@imile.me,hr@imile.me,https://www.imile.com,Verified
Fujairah National Shipping,Logistics,Fujairah,P.O. Box 801,+971 9 223 3344,,fns@fng.ae,info@fng.ae,https://www.fng.ae,Verified
Ajman Free Zone Logistics,Logistics,Ajman,Free Zone,+971 6 701 1555,,info@afz.ae,,https://www.afz.gov.ae,Verified
Chalhoub Group Logistics,Logistics,Dubai,Jebel Ali,+971 4 817 0000,,info@chalhoub.com,careers@chalhoub.com,https://www.chalhoub.com,Verified
Agility Logistics UAE,Logistics,Dubai/Abu Dhabi,Jebel Ali/Mussafah,+971 4 813 1222,+971 2 550 0000,uae@agility.com,careers@agility.com,https://www.agility.com,Verified
Hellmann Worldwide Logistics UAE,Logistics,Dubai/Abu Dhabi,Jebel Ali/Mussafah,+971 4 881 1111,+971 2 550 0000,info@hellmann.com,careers@hellmann.com,https://www.hellmann.com,Verified
Kuehne + Nagel UAE,Logistics,Dubai/Abu Dhabi,Jebel Ali/Mussafah,+971 4 812 8000,+971 2 550 0000,info@kuehne-nagel.com,careers@kuehne-nagel.com,https://www.kuehne-nagel.com,Verified
UPS UAE,Logistics,Dubai/Abu Dhabi,Jebel Ali/Mussafah,+971 4 339 0000,+971 2 550 0000,uaesupport@ups.com,careers@ups.com,https://www.ups.com/ae/en,Verified
GAC UAE,Logistics,Dubai/Abu Dhabi,Jebel Ali/Mussafah,+971 4 881 1111,+971 2 550 0000,gac.uae@gac.com,careers.uae@gac.com,https://www.gac.com/uae,Verified
Posta Plus UAE,Logistics,Dubai/Abu Dhabi,Al Quoz/Mussafah,+971 4 338 0000,+971 2 550 0000,uae@postaplus.com,hr@postaplus.com,https://www.postaplus.com,Verified
Naqel Express UAE,Logistics,Dubai/Abu Dhabi,Al Quoz/Mussafah,+971 4 338 0000,+971 2 550 0000,uae@naqel.com.sa,hr@naqel.com.sa,https://www.naqelexpress.com,Verified
