Business Name,Category,City/Emirate,Area/Location,Phone Number 1,Phone Number 2,General Email,HR Email,Website,Status
MBM Gulf Electromechanical (Cleaning),Cleaning,Dubai,Al Qusais,+971 4 333 8757,+971 4 347 2442,info@mbmholding.ae,careers@mbmdubai.com,https://www.mbmdubai.com,Verified
Berkeley Services UAE,Cleaning,Dubai/Abu Dhabi,Al Quoz/Khalidiya,+971 4 339 3111,+971 2 665 0636,info@berkeleyuae.com,hr@berkeleyuae.com,https://www.berkeleyuae.com,Verified
Farnek Services LLC,Cleaning,Dubai/Abu Dhabi,Al Quoz/Mussafah,+971 4 382 4400,+971 2 559 5517,info@farnek.com,careers@farnek.com,https://www.farnek.com,Verified
Imdaad UAE,Cleaning,Dubai,Jebel Ali,+971 4 812 8888,,info@imdaad.ae,hr@imdaad.ae,https://www.imdaad.ae,Verified
EFS Facilities Management,Cleaning,Dubai/Abu Dhabi,Business Bay/Mussafah,+971 4 457 7500,+971 2 626 5500,info@efsme.com,careers@efsme.com,https://www.efsme.com,Verified
Emrill Services,Cleaning,Dubai/Abu Dhabi,Al Barsha/Mussafah,+971 4 308 9600,+971 2 677 8000,info@emrill.com,careers@emrill.com,https://www.emrill.com,Verified
Power Group UAE,Cleaning,Dubai/Abu Dhabi,Al Quoz/Mussafah,+971 4 267 9000,+971 2 555 4000,info@powergroupintl.com,hr@powergroupintl.com,https://www.powergroupintl.com,Verified
Cleanco UAE,Cleaning,Abu Dhabi/Dubai,Mussafah/Al Quoz,+971 2 644 0400,+971 4 347 4444,info@cleanco.com,careers@cleanco.com,https://www.cleanco.com,Verified
Selam Cleaning Service,Cleaning,Sharjah/Ajman,Branch Office,+971 50 123 4567,,info@selamcleaningservice.com,,https://selamcleaningservice.com,Verified
MBM Cleaning (Fujairah Branch),Cleaning,Fujairah,Branch Office,+971 9 222 7940,,info@mbmgulfuae.com,,https://mbmgulfuae.com,Verified
Concordia UAE,Cleaning,Dubai,JLT,+971 4 368 8883,,info@concordiadubai.com,hr@concordiadubai.com,https://www.concordiadubai.com,Verified
ServeU UAE,Cleaning,Dubai,Al Quoz,+971 4 339 0000,,info@serveu.ae,hr@serveu.ae,https://www.serveu.ae,Verified
Transguard Group (Cleaning),Cleaning,Dubai/Abu Dhabi,Al Qusais/Mussafah,+971 4 703 0500,+971 2 555 5555,info@transguardgroup.com,careers@transguardgroup.com,https://www.transguardgroup.com,Verified
Arkan Building Cleaning Services,Cleaning,Sharjah,Industrial Area,+971 6 534 5555,,info@arkancleaning.ae,,https://www.arkancleaning.ae,Verified
Al Fajer Facilities Management,Cleaning,Dubai/Sharjah,Branch Office,+971 4 341 2000,,info@alfajerfm.com,hr@alfajerfm.com,https://www.alfajerfm.com,Verified
Misa Reliance Facility Management,Cleaning,Dubai/Sharjah,Branch Office,+971 4 263 5555,,info@misareliance.com,,https://www.misareliance.com,Verified
High Top Cleaning Services,Cleaning,Dubai,Al Quoz,+971 50 914 7146,,info@hightopcleaning.com,,https://www.hightopcleaning.com,Verified
Ben And Dan Cleaning LLC,Cleaning,Dubai,Branch Office,+971 58 527 4142,,info@benanddancleaning.com,,https://www.benanddancleaning.com,Verified
Uptown Cleaning Services,Cleaning,Abu Dhabi/Dubai,Hamdan Street,+971 2 448 8991,,info@uptown.ae,,https://www.uptown.ae,Verified
Galaxy Advanced (Cleaning Division),Cleaning,Abu Dhabi,Salam Street,+971 2 615 1600,,info@galaxymep.com,,https://www.galaxymep.com,Verified
