Business Name,Category,City/Emirate,Area/Location,Phone Number 1,Phone Number 2,General Email,HR Email,Website,Status
Alokozay Group,Manufacturing,Dubai,Jebel Ali,+971 4 887 1155,+971 4 887 1077,info@alokozay.com,,https://www.alokozay.com,Verified
United Foods Company,Manufacturing,Dubai,Sheikh Zayed Road,+971 4 506 3800,+971 4 506 3802,info@unitedfoods.ae,recruitment@unitedfoods.ae,https://www.unitedfoods.ae,Verified
Royal Food Industries,Manufacturing,Umm Al Quwain,New Industrial Area,+971 6 767 2291,,info@royalfoodi.com,,https://royalfi.com,Verified
Agthia Group,Manufacturing,Abu Dhabi,Al Reem Island,+971 2 596 0600,,info@agthia.com,careers@agthia.com,https://www.agthia.com,Verified
Emirates Global Aluminium (EGA),Manufacturing,Abu Dhabi/Dubai,Khalifa Port/Jebel Ali,+971 2 509 4444,+971 4 881 1111,info@ega.ae,careers@ega.ae,https://www.ega.ae,Verified
National Food Products Company (NFPC),Manufacturing,Dubai,Tahlia Street,+971 4 801 8000,,info@nfpc.net,hr@nfpc.net,https://www.nfpcgroup.com,Verified
RAK Ceramics,Manufacturing,Ras Al Khaimah,P.O. Box 4714,+971 7 246 7000,,info@rakceramics.com,careers@rakceramics.com,https://www.rakceramics.com,Verified
Gulf Craft,Manufacturing,Umm Al Quwain,Head Office,+971 6 706 8000,,info@gulfcraftinc.com,hr@gulfcraftinc.com,https://www.gulfcraftinc.com,Verified
Sharjah Oxygen Company,Manufacturing,Sharjah,Industrial Area 1,+971 6 533 6481,,info@sharjahoxygen.com,,https://www.sharjahoxygen.com,Verified
Dubai Cable Company (Ducab),Manufacturing,Dubai/Abu Dhabi,Jebel Ali/Mussafah,+971 4 812 1212,+971 2 502 7777,ducab@ducab.com,careers@ducab.com,https://www.ducab.com,Verified
Emirates Steel Arkan,Manufacturing,Abu Dhabi,Mussafah,+971 2 507 2222,,info@emiratessteel.com,careers@emiratessteel.com,https://www.emiratessteel.com,Verified
IFFCO Group,Manufacturing,Sharjah/Dubai,Branch Office,+971 6 502 1111,,info@iffco.com,careers@iffco.com,https://www.iffco.com,Verified
Lootah Group Industries,Manufacturing,Dubai/Sharjah,Branch Office,+971 4 299 9999,,info@lootahgroup.com,,https://www.lootahgroup.com,Verified
National Paints Factories,Manufacturing,Sharjah,Industrial Area 13,+971 6 513 0000,,info@nationalpaints.com,hr@nationalpaints.com,https://www.nationalpaints.com,Verified
Masafi UAE,Manufacturing,Dubai/Ras Al Khaimah,Branch Office,+971 4 304 1000,,info@masafi.com,hr@masafi.com,https://www.masafi.com,Verified
Mai Dubai,Manufacturing,Dubai,Yalayis,+971 4 802 2222,,info@maidubaiwater.com,careers@maidubaiwater.com,https://www.maidubaiwater.com,Verified
Al Ain Farms,Manufacturing,Al Ain/Abu Dhabi,Head Office,+971 3 711 4600,,info@alainfarms.com,hr@alainfarms.com,https://www.alainfarms.com,Verified
Fine Hygienic Holding,Manufacturing,Dubai/Abu Dhabi,Jebel Ali/Mussafah,+971 4 810 0000,,info@finehh.com,careers@finehh.com,https://www.finehh.com,Verified
Unilever UAE Manufacturing,Manufacturing,Dubai,Dubai Industrial City,+971 4 881 1111,,info@unilever.com,,https://www.unilever.com,Verified
PepsiCo UAE (Dubai Refreshment),Manufacturing,Dubai,Dubai Investment Park,+971 4 802 5000,,info@pepsico.com,,https://www.pepsico.com,Verified
