Business Name,Category,City/Emirate,Area/Location,Phone Number 1,Phone Number 2,General Email,HR Email,HR Phone,Status,Other Contacts,Website,Leads ,Remarks
ALEC Engineering and Contracting,Construction,Dubai,Dubai Marina,+971 4 429 0599,+971 2 556 7540,info@alec.ae,hr@alec.ae,,,,https://alec.ae,Verified,
Khansaheb Civil Engineering,Construction,Dubai,Al Rashidiya,+971 4 605 7200,,info.kce@khansaheb.com,careers@khansaheb.com,,,,https://www.khansaheb.ae,Verified,
Berkeley Services Group,Cleaning,Dubai,Al Quoz 3,+971 4 339 3111,+971 2 665 7454,info@berkeleyuae.com,hr@berkeleyuae.com,,,,https://www.berkeleyuae.com,Verified,
Farnek Services LLC,Cleaning,Dubai,Al Quoz 3,+971 4 382 4400,+971 2 559 5517,info@farnek.com,careers@farnek.com,,,,https://www.berkeleyuae.com,Verified,
Aramex,Logistics,Dubai,Umm Ramool,600 544 000,+971 4 544 4444,support@aramex.com,careers@aramex.com,,,,https://www.aramex.com,Verified,
DP World,Logistics,Dubai,Jebel Ali,+971 4 881 1111,,info@dpworld.com,careers@dpworld.com,,,,https://www.dpworld.com,Verified,
Magnum Security,Security,Dubai,Al Quoz 3,800 624 686,+971 4 388 1339,info@magnumsecurity.ae,hr@magnumsecurity.ae,,,,https://magnumsecurity.ae,Verified,
Transguard Group,Security,Dubai,Dubai Airport Freezone,+971 4 703 0500,,info@transguardgroup.com,careers@transguardgroup.com,,,,https://www.transguardgroup.com,Verified,
Emirates Global Aluminium (EGA),Manufacturing,Dubai,Jebel Ali,+971 4 884 6666,+971 2 509 4444,info@ega.ae,careers@ega.ae,,,,https://www.ega.ae,Verified,
RAK Ceramics,Manufacturing,Ras Al Khaimah,Al Jazirah Al Hamra,+971 7 246 7000,,info@rakceramics.com,careers@rakceramics.com,,,,https://www.rakceramics.com,Verified,
GEMS Education,Schools,Dubai,Sheikh Zayed Road,+971 4 347 7770,,info@gemseducation.com,careers@gemseducation.com,,,,https://www.gemseducation.com,Verified,
The Model School,Schools,Abu Dhabi,Mussafah,+971 2 552 7200,,info@themodel.ae,,,,,https://themodel.ae,Verified,
Americana Restaurants,Restaurants,Dubai,Sharjah HQ,+971 6 506 0700,,info@americana-food.com,careers@americana-food.com,,,,https://www.americanarestaurants.com,Verified,
Abo Ali Restaurant & Cafe,Restaurants,Dubai,Al Barsha 3,600 500 000,,info@aboalirestaurants.com,,,,,https://aboalirestaurants.com,Verified,
Medcare Clinics,Clinics,Dubai,Various Locations,800 633 2273,,info@medcare.ae,careers@asterdmhealthcare.com,,,,https://www.medcare.ae,Verified,
Aster Clinic,Clinics,Dubai,Various Locations,04 440 0500,,info@asterdmhealthcare.com,careers@asterdmhealthcare.com,,,,https://www.asterclinic.ae,Verified,
Gulf Craft,Manufacturing,Umm Al Quwain,Industrial Area,+971 6 765 5888,,info@gulfcraftinc.com,careers@gulfcraftinc.com,,,,https://www.gulfcraftinc.com,Verified,
Fujairah National Group,Logistics,Fujairah,Hamad Bin Abdulla Rd,+971 9 222 2222,,info@fng.ae,hr@fng.ae,,,,https://www.fng.ae,Verified,
Sharjah Oxygen Co,Manufacturing,Sharjah,Industrial Area,+971 6 533 6481,,info@sharjahoxygen.com,,,,,https://www.sharjahoxygen.com,Verified,
