Business Name,Category,City/Emirate,Area/Location,Phone Number 1,Phone Number 2,General Email,HR Email,Website,Status
Medcare Clinics & Hospitals,Clinics,Dubai/Sharjah,Jumeirah/Al Safa,+971 4 247 7777,+971 4 308 9600,info@medcare.ae,hr@medcare.ae,https://www.medcare.ae,Verified
Aster Clinic UAE,Clinics,Dubai/Abu Dhabi/Sharjah,Branch Office,+971 4 440 0500,+971 2 612 0000,info@asterclinic.ae,hr@asterclinic.ae,https://www.asterclinic.ae,Verified
NMC Health Clinics,Clinics,Abu Dhabi/Dubai/Sharjah,Khalifa City/Deira,+971 2 633 2255,+971 4 262 6000,info@nmc.ae,hr@nmc.ae,https://www.nmc.ae,Verified
Prime Medical Center,Clinics,Dubai/Sharjah/Ajman,Branch Office,+971 4 297 7777,+971 6 525 2222,info@primehealth.ae,hr@primehealth.ae,https://www.primehealth.ae,Verified
Burjeel Medical Center,Clinics,Abu Dhabi/Dubai/Sharjah,Branch Office,+971 2 508 5555,+971 4 243 4000,info@burjeel.com,hr@burjeel.com,https://www.burjeel.com,Verified
Mediclinic Middle East,Clinics,Dubai/Abu Dhabi,Al Barsha/Khalifa City,+971 4 415 1111,+971 2 612 0000,info@mediclinic.ae,hr@mediclinic.ae,https://www.mediclinic.ae,Verified
Ahalia Medical Center,Clinics,Abu Dhabi/Dubai/Sharjah,Hamdan Street/Deira,+971 2 626 2666,+971 4 262 6000,info@ahaliahospital.com,hr@ahaliahospital.com,https://www.ahaliahospital.com,Verified
Zulekha Hospital & Clinics,Clinics,Sharjah/Dubai,Al Nahda/Branch Office,+971 6 537 8888,+971 4 267 8888,info@zulekhahospitals.com,hr@zulekhahospitals.com,https://www.zulekhahospitals.com,Verified
Thumbay Clinic,Clinics,Ajman/Sharjah/Fujairah,Branch Office,+971 6 746 3333,+971 9 222 2222,info@thumbayclinic.ae,hr@thumbay.com,https://www.thumbayclinic.com,Verified
Emirates International Medical Center,Clinics,Sharjah,Al Majaz 3,+971 6 522 6107,+971 6 555 1 666,info@eimc.ae,,https://eimc.ae,Verified
Amrita Medical Center,Clinics,Abu Dhabi,Khalidiya,+971 2 666 1555,,info@amrita.ae,,https://www.amrita.ae,Verified
King's College Hospital Clinics,Clinics,Dubai/Abu Dhabi,Dubai Hills/Marina,+971 4 247 7777,+971 2 626 2666,contact@kch.ae,hr@kch.ae,https://www.kch.ae,Verified
Al Futtaim Health (HealthHub),Clinics,Dubai,Festival City,+971 4 211 1111,,info@healthhubuae.com,hr@healthhubuae.com,https://www.healthhubuae.com,Verified
Cleveland Clinic Abu Dhabi (Outpatient),Clinics,Abu Dhabi,Al Maryah Island,+971 2 659 0200,,info@clevelandclinicabudhabi.ae,hr@clevelandclinicabudhabi.ae,https://www.clevelandclinicabudhabi.ae,Verified
American Hospital Clinics,Clinics,Dubai,Oud Metha/Branch Office,+971 4 336 7777,,info@ahdubai.com,hr@ahdubai.com,https://www.ahdubai.com,Verified
Saudi German Clinics,Clinics,Dubai/Sharjah/Ajman,Branch Office,+971 4 332 9444,+971 6 513 0000,info@sghdubai.com,hr@sghdubai.com,https://www.sghdubai.com,Verified
Medeor 24x7 Medical Center,Clinics,Abu Dhabi/Dubai,Branch Office,+971 2 690 0600,+971 4 350 0600,info@medeor.ae,hr@medeor.ae,https://www.medeor.ae,Verified
Life Medical Center,Clinics,Dubai/Sharjah,Branch Office,+971 4 344 1122,,info@life-healthcare.ae,hr@life-healthcare.ae,https://www.life-healthcare.ae,Verified
Ibn Nafees Medical Center,Clinics,Abu Dhabi,Saeed Bin Ahmed Al Otaiba St,+971 2 632 4200,+971 50 36 11 225,info@ibnnafees.com,,https://ibnnafees.com,Verified
Right Health Clinics,Clinics,Dubai/Abu Dhabi/Sharjah,Branch Office,800 7400,+971 4 333 5502,info@righthealth.ae,enquiry@righthealth.ae,https://righthealth.ae,Verified
