Business Name,Category,City/Emirate,Area/Location,Phone Number 1,Phone Number 2,General Email,HR Email,Website,Status
Americana Restaurants International,Restaurants,Sharjah/Dubai,Al Khan/Jebel Ali,+971 6 509 2222,+971 4 889 0270,info@americanarestaurants.com,careers@americanarestaurants.com,https://www.americanarestaurants.com,Verified
Apparel Group (F&B Division),Restaurants,Dubai,Jebel Ali,+971 4 813 6111,+971 4 335 8000,info@appareluae.com,hr@appareluae.com,https://www.apparelgroup.com,Verified
Jumeirah Group (Hospitality),Restaurants,Dubai/Abu Dhabi,Madinat Jumeirah/Saadiyat,+971 4 366 8888,+971 2 811 4444,info@jumeirah.com,careers@jumeirah.com,https://www.jumeirah.com,Verified
Eat and Drink Group,Restaurants,Dubai/Sharjah,Al Barsha/Muwailih,+971 4 394 3878,+971 600 546667,mail@eatanddrinkgroup.com,,https://www.eatanddrinkgroup.com,Verified
Al Hallab Restaurant & Sweets,Restaurants,Dubai,Business Bay/Garhoud,+971 4 282 3388,+971 4 330 8828,info@alhallabuae.com,,https://www.alhallabuae.com,Verified
Tablez Food Company (LuLu Group),Restaurants,Abu Dhabi,Head Office,+971 2 615 6000,+971 2 418 0000,info@tablez.com,careers@ae.tablez.com,https://www.tablez.ae,Verified
BinHendi Enterprises (F&B),Restaurants,Dubai,Head Office,+971 4 335 3333,,info@binhendi.com,hr@binhendi.com,https://www.binhendi.com,Verified
Al Safadi Restaurant,Restaurants,Dubai/Abu Dhabi,Sheikh Zayed Road/Rigga,600 500 601,+971 4 227 9922,info@alsafadi.ae,,https://alsafadi.ae,Verified
Jones the Grocer UAE,Restaurants,Abu Dhabi/Dubai,Al Mamoura/Al Manara,+971 2 443 4870,+971 4 346 6886,info@jonesthegrocer.com,,https://www.jonesthegrocer.com,Verified
Shakespeare and Co. UAE,Restaurants,Dubai/Abu Dhabi,Al Safa/Yas Mall,+971 4 434 0195,+971 2 644 0400,info@shakespeare-and-co.com,,https://shakespeare-and-co.com,Verified
Automatic Restaurant & Grill,Restaurants,Dubai/Sharjah,Al Quoz/Branch Office,600 546667,+971 4 323 3002,info@automatic-restaurant.com,,https://automaticrestaurant.com,Verified
Gazebo Restaurant UAE,Restaurants,Dubai/Abu Dhabi,Branch Office,+971 4 359 8555,,info@gazebo.ae,,https://www.gazebo.ae,Verified
Puranmal Group UAE,Restaurants,Dubai/Sharjah,Branch Office,+971 4 334 4111,,info@puranmal.ae,,https://www.puranmal.ae,Verified
Bait Al Mandi UAE,Restaurants,Dubai/Sharjah,Branch Office,+971 4 262 9000,,info@baitalmandi.com,,https://www.baitalmandi.com,Verified
Operation: Falafel (AWJ Investments),Restaurants,Dubai,Head Office,+971 4 424 0000,,info@awjinvestments.com,hr@awjinvestments.com,https://www.operationfalafel.com,Verified
The Noodle House (Jumeirah),Restaurants,Dubai,Souk Madinat Jumeirah,800 323232,+971 4 366 6345,restaurants@jumeirah.com,,https://www.jumeirah.com/en/dine/dubai/noodle-house,Verified
SFC Plus (SFC Group),Restaurants,Abu Dhabi/Dubai,Branch Office,+971 2 644 0400,,info@sfcgroup.com,hr@sfcgroup.com,https://www.sfcgroup.com,Verified
Chili's UAE (Saleh Bin Lahej),Restaurants,Dubai/Abu Dhabi,Branch Office,+971 4 282 8888,,info@salehbinlahej.com,,https://www.chilisuae.com,Verified
The Cheesecake Factory UAE (Alshaya),Restaurants,Dubai/Abu Dhabi,Branch Office,+971 4 315 3633,,info@alshaya.com,,https://www.alshaya.com,Verified
Golden Fork Restaurant,Restaurants,Dubai/Abu Dhabi,Branch Office,+971 4 242 3344,,shanavas@goldenfork.ae,,https://www.goldenfork.ae,Verified
