Business Name,Category,City/Emirate,Area/Location,Phone Number 1,Phone Number 2,General Email,HR Email,Website,Status
Prestige Constructions LLC,Construction,Ajman,Al Rashidiya,+971 6 745 1389,+971 4 220 7539,corporate@prestigegroup.me,,https://prestigegroup.me,Verified
Fujairah National Construction & Transport (FNCT),Construction,Fujairah,P.O. Box 801,+971 9 223 3344,+971 9 222 2128,fnct@fng.ae,info.workshop@fng.ae,https://www.fnct.ae,Verified
Sharjah General Contracting Company (SGCC),Construction,Sharjah,Industrial Area 15,+971 6 534 5222,+971 6 534 7171,info@sgcc.ae,,https://www.sgcc.ae,Verified
Fala Group,Construction,Dubai,Al Qusais,+971 4 263 5553,,secretary1@falagroup.com,,https://falagroup.com,Verified
Bin Belaila Baytur,Construction,Dubai,Al Qusais,+971 4 392 6999,+971 4 363 8201,info@binbelaila.com,uae@baytur.org,https://www.binbelaila.com,Verified
Al Rakha Group (Sharjah Branch),Construction,Sharjah,Branch Office,+971 2 677 1624,,arrakha@eim.ae,,https://www.alrakha.com,Verified
White Arch General Contracting (Sharjah),Construction,Sharjah,Branch Office,+971 6 555 5555,,info@whitearch.ae,,https://whitearch-me.com,Verified
Amana Contracting,Construction,Sharjah,Hamriyah Free Zone,+971 6 526 3333,,info@amanabuilds.com,,https://amanabuilds.com,Verified
Lootah Group,Construction,Sharjah,Branch Office,+971 6 534 1111,,info@lootahgroup.com,,https://www.lootahgroup.com,Verified
Galfar Engineering & Contracting (UAE),Construction,Sharjah,Industrial Area,+971 6 534 8888,,info@galfar.com,,https://www.galfar.com,Verified
Fujairah National Construction Co (FNC),Construction,Dubai/Fujairah,Al Qusais,+971 4 393 8888,,info@fncglobal.com,,https://www.fncglobal.com,Verified
Islamic Building Contracting Est,Construction,Fujairah,P.O. Box 1772,+971 9 222 7940,+971 55 155 5597,info@fng.ae,,https://www.fng.ae,Verified
White Stone General Contracting (Northern),Construction,Sharjah/Ajman,Branch Office,+971 2 641 9161,,info@whitestoneuae.com,,https://solidsurface.whitestoneuae.com,Verified
Al Fara'a General Contracting (Northern),Construction,Sharjah/Ajman,Branch Office,+971 3 782 5825,,info@alfaraa.com,,https://alfaraa.com,Verified
National Contracting Company (NCC),Construction,Sharjah,Industrial Area,+971 6 534 7777,,info@ncc.ae,,https://www.ncc.ae,Verified
Ajman Free Zone Construction,Construction,Ajman,Free Zone,+971 6 701 1555,,info@afz.ae,,https://www.afz.gov.ae,Verified
RAK Ceramics (Construction Services),Construction,Ras Al Khaimah,P.O. Box 4714,+971 7 246 7000,+971 7 244 5046,info@rakceramics.com,careers@rakceramics.com,https://www.rakceramics.com,Verified
Al Ain General Contracting (ALGECO) Northern,Construction,Sharjah/Ajman,Branch Office,+971 3 782 5606,,alain@algeco.net,,https://www.algeco.net,Verified
Pivot Engineering (Northern Branch),Construction,Sharjah/Ajman,Branch Office,+971 2 694 7999,,contact@pivot.ae,,https://www.pivot.ae,Verified
Commodore Contracting (Northern Branch),Construction,Sharjah/Ajman,Branch Office,+971 2 626 5222,,info@commodore.ae,,https://www.commodore.ae,Verified
